Score out of 10,Pitch,Comments
0,"15. Fourteen Keys · After the rooming house burned with a musician asleep inside, the landlord produced alarms with fresh batteries, and a tenant produced a photo, taken the night before, of bare ceilings.",No
8,"16. In Her Handwriting · Her brother had begged her for months to help him die, and when he finally fell from the lighthouse, the note in his pocket was in her handwriting, but not her words.",Maybe a seed here for later episode - very Havenbay
0,"17. The Second Knife · The man who confessed to the boardwalk stabbing died in custody, satisfied and smiling, and this winter the same wounds started appearing again, in the same order, on the same night of the month.",No
5,"18. The Birthday Caller · Her sister was declared dead after the marina fire, but someone rings the family landline every birthday and says nothing, and this year, for the first time, the caller cried.",Maybe a seed here for later episode
0,"19. The Long Applause · A street performer collapsed mid-act to laughter and applause, and forty phones filmed a dying man being cheered, while the one person filming from behind him walked away.",No
6,"20. Kept Confidences · The barman who remembered everyone's troubles was strangled above his own cellar, where twenty years of other people's secrets sat filed in shoeboxes, and exactly one box left with his killer.",Maybe a seed here for later episode
,,
,,
6.5,"1. The Coat in Her Closet: A delivery driver died in prison for killing a baker, but the baker’s son has found his father’s bloodstained coat hidden in his mother’s closet.",Maybe a seed here for later episode
,,
4,"2. No One Missed the Ferry: A deckhand died in a fall called accidental, until his replacement received a warning describing the loose rail and promising another death on the next crossing.",Maybe a seed here for later episode
,,
0,"3. The Borrowed Red Coat: A woman declared dead after a house fire appears alive, leaving her younger sister buried under her name and a husband who refuses to look surprised.",
,,
0,"4. The Empty Chair at Practice: A swim coach drowned hours before exposing a parent who had threatened one of his athletes, and that teenager has now vanished from practice.",Confusing
,,
6,"5. Seven Words She Never Used: A teacher’s death was called suicide, but her note begins with her husband’s favourite phrase, and his new girlfriend has started writing the same goodbye.",
,,
7,"6. The Man Who Confessed Twice: A dockworker confessed to a murder he could not describe, then died in custody, while the victim’s brother quietly took over his home and family.",Maybe a seed here for later episode
,,
0,"7. Flowers for the Wrong Widow: After a shopkeeper is shot dead, funeral flowers arrive for a woman nobody knows, exposing a second family and someone determined to silence both households.",Confusing
,,
0,"8. The Baby Monitor Next Door: A young father dies inside a locked apartment, but the neighbour’s baby monitor caught another man soothing his child after everyone says he was alone.",Confusing
,,
6,"9. The Last Shift Was Covered: A cleaner is beaten to death at work, and the colleague who swapped shifts with her refuses to explain why the killer expected somebody else.",Maybe a seed here for later episode
,,
4,"10. The House That Kept Calling: A woman dies after reporting calls from her empty childhood home, then her brother receives the same calls repeating words only their violent father knew.",Confusing
,,
7,"11. The Birthday Video Never Sent: A student is killed walking home, and an unsent birthday video shows her laughing beside the married neighbour who claims he never met her.",Maybe a seed here for later episode
,,
7,"12. The Intruder Had a Key: A husband kills an intruder and is praised for saving his family, but the dead man carried a house key and had been sending money to the wife.",Maybe a seed here for later episode
,,
6,"13. The Spare Key Was Warm: A newlywed is found murdered behind a locked door, and the spare key is returned by the friend now comforting her husband and planning their wedding.",Maybe a seed here for later episode
,,
0,"14. The Boy in Every Photograph: A photographer’s assistant is murdered after circling the same unknown boy in twenty family portraits, and the boy’s mother is now begging strangers to hide him.",Confusing
,,
0,"15. The Apology Before the Fall: A rooftop fall kills a comic who mocked half the city, but one private apology names the quiet fan now dating his frightened sister.",Confusing
,,
0,"16. The Key Under the Lifeboat: A fisherman is found stabbed to death aboard an empty boat, carrying a hidden key to a flat where another family has been waiting for him.",Confusing
,,
7,"17. The Voice Behind the Wall: A tenant is murdered after recording arguments next door, but the surviving woman insists the threatening voice belonged to her husband, who died two years earlier.",Maybe a seed here for later episode
,,
0,18. What the Dog Brought Home: A runner’s death was blamed on a cliff fall until her dog returned with the missing glove of the friend leading searches for her killer.,boring - unbelivable
,,
6,"19. The Children Drew the Same Man: Three fathers die in separate home accidents, and their children all draw the same smiling visitor standing behind their mothers.",Not kids drawings but there might be something here for later ep
,,
0,"20. The Song Beneath the Static: A radio volunteer is killed during a midnight broadcast, and beneath the final song a caller can be heard choosing which coworker dies next.",Confusing
,,
0,1 · The Second Voicemail,No messages played at funeral
,"A woman left two messages the night she died, and the one her family played at the funeral was the second one; nobody has ever asked who deleted the first.",
,,
0,2 · He Kept the Receipts,No grab
,"For nine years a man has paid for a storage unit in the name of the woman he was cleared of killing, and last month he stopped.",
,,
0,"3 · Six Hours, No Adult",No old or young victime in ep1
,"Everything anyone knows about that night comes from a frightened fourteen-year-old at four in the morning, and he has spent the twenty years since trying to take it back.",
,,
6,4 · Nobody's Daughter,Maybe a seed here for later episode
,A girl was buried under a number twenty years ago and three women have since told the same police station she was theirs; two of them were lying and one was not.,
,,
7.5,5 · The Woman in the Photograph,Interesting - some merit
,"Her husband reported her missing on a Tuesday and by Friday he had chosen the photograph the papers would use, and it is not one she would ever have picked.",
,,
6,6 · Day Thirty-Two,Maybe a seed here for later episode
,"A hotel kept its recordings for a month, the family asked for them a day too late, and the man who told them they were gone had already watched them.",
,,
7,7 · The Man Who Waited,Interesting - some merit
,"He sat with her family every day of the trial, brought them food, and cried when the verdict came in; he had killed her in March.",
,,
6,8 · Learn to Swim,Maybe a seed here for later episode
,"A boy who had swum since he was six drowned in water he could stand up in, and the only adult on the bank has changed his account four times.",
,,
0,9 · Her Own Handwriting,Unbelievable
,"The note that closed the case was in her handwriting, which is why nobody looked at the fact that she had written it eleven months before she died.",
,,
0,10 · The Other Family,Confusing
,He was buried by his wife and children on the Thursday; the woman who came on the Friday had been married to him for nineteen years and is the only one asking how he died.,
,,
6.5,11 · The Dress She Was Wearing,Maybe a seed here for later episode
,"She left the house in a green dress and was found in a blue one, and the person who noticed was not the police.",
,,
7,"12 · Two Sisters, One Story",Maybe a seed here for later episode
,"They gave identical statements about the night their mother died, word for word, and neither of them has spoken to the other since.",
,,
3,13 · The Coach,No
,"Forty families let him drive their children home, and when one boy did not come back, every one of them said the same three words about him.",
,,
5,14 · Sold as Seen,Maybe a seed here for later episode
,"The house went to auction eight weeks after she died in it, and the man who bought it is the one who found her.",
,,
6,15 · She Told Her Hairdresser,Maybe a seed here for later episode
,"She told one person she was frightened and it was not her sister, her doctor or the police, and that person has been waiting nine years for someone to ask.",
,,
0,16 · Who Signed Him Out,unbelievable incompetence
,"He finished work at ten and was found on the same site at dawn, and the man who signed him out that night has never once been asked why he did.",
,,
0,17 · A Very Good Liar,No kids
,"The only witness was eight years old and everyone agreed she was too young to be believed, and she is thirty now and remembers all of it.",
,,
0,18 · The Wrong Brother,Confusing - protecting from what?
,"Two brothers were in the house, one is dead, one is serving life, and their mother has spent twelve years refusing to say which of them she was protecting.",
,,
0,19 · Their Own Key,confusing
,"She was twenty-six, she lay in a flat above a shop that opens at six every morning, and the person who eventually let themselves in had their own key.",
,,
6.5,20 · He Came Back for the Dog,
,"The house was on fire, he got out, and he went back in for the dog and not for her.",Maybe a seed here for later episode
,,
,,
,,
8.5,"Five Keys After Midnight: Five friends receive keys after a woman’s murder, each opening the cupboard where she hid proof that one of them planned her death.",Definitely intriguing
,,
6.5,"The Cold Plate at Midnight: A chef is poisoned at home, and the untouched third place at dinner belongs to the friend now raising his daughter with his widow.",Maybe a seed here for later episode
,,
7,"The Sea Wall · Half a town watched the developer fall from the sea wall, and two people, strangers to each other, have each spent five years quietly atoning for a crime they both believe was theirs.",Maybe a seed here for later episode
,,
6.5,"Table for One · A food critic died at the table of the chef whose restaurant he had twice destroyed in print, in front of forty witnesses who all agree the chef never left the kitchen.",Maybe a seed here for later episode
,,
6,"Letters Home · A man was paid, kindly he thought, to write letters and phone a mother as her son, and four years passed before he asked what happened to the son, dead since the first letter.",Maybe a seed here for later episode
,,
6,Every Time It's Mentioned,Maybe a seed here for later episode
,He has moved house four times in eleven years and each move came within a month of somebody publicly asking about the girl from the caravan park.,
,,
5,The Last Message,Could definitely be used as a part of another story - not a story on its own
,"Her last text used a word she had never used in her life, and her sister has spent nine years explaining that to people who nod.",
,,
,,
Round 2,,
,,
7, His Sister Identified Him,Intriguing
,"A man was buried under his own name after his sister identified the body, and he was arrested in another state eight years later.",
,,
6.5,"Four Men, One Van",Maybe a seed here for later episode
,"Four men went out in a van and three came back, and each of the three named a different place where they had dropped the fourth.",
,,
7,The Best Man's Speech,Interesting concept
,"A groom killed his wife six weeks after the wedding, and the best man's speech, filmed by forty guests, describes as a joke exactly how he would do it.",
,,
7,The Son Who Came Home,Interesting concept
,"A woman was murdered and her son flew home the next morning from another country, and his ticket was bought three days before she died.",
,,
7,"Flowers at the Wrong Grave · A man walked into the sea a week after his acquittal, and his mother, who had sworn to his alibi in court, now lays flowers at the victim's grave instead of her son's.",Interesting concept
,,
6,"His Seat · Every season since the murder, a stranger has taken the dead man's seat at the football ground, arriving late, leaving early, cheering for nobody, for nine years.",Maybe a seed here for later episode
,,
7.5,"Four Cars Left the Wedding: Four bridesmaids swear a murdered bride drove away with her husband, but he had been dead for three hours when they watched the car leave.",Interesting concept
,,
7.5,"The Reunion Had Seven Guests: Six friends find a murdered stranger at their reunion, but a photograph taken at their last reunion shows him seated among them.",Interesting concept
,,
7,"Her Voice After Sunrise: A woman is murdered before midnight, yet three friends receive calls from her at dawn asking them to protect the same man.",Interesting concept
,,
7,"Two Sisters, One Survivor: One twin is murdered and the other identifies her, but their mother insists the survivor is using the dead sister’s name.",Interesting concept
,,
6.5,"Both Confessions Cannot Be True: A husband and wife each confess to murdering their neighbour, but each insists the other was asleep and begs that person never learn the truth.",Interesting concept
,,
6,"The Passenger Came Back: A ferry worker is murdered after helping a frightened woman leave the city, but she returns that night beside the husband she said would kill her.",Maybe a seed here for later episode
,,
7,"Six Bedrooms Above the Murder: A woman is murdered downstairs while six housemates sleep above her, and each admits hearing the killer but names a different housemate’s voice.",Interesting mybe reduce the number of housemates
